abandon /əˈbændən/, /əˈbændən/;  bỏ rơi, ruồng bỏ
enthral /ɪnˈθrɔːl/, /ɪnˈθrɔːl/;  mê hoặc, làm mê mệt
enthusiast /ˈθjuːziæst/, /ˈθuːziæst/;  người có nhiệt tình, người say mê 
entitle /ɪnˈtaɪtl/, /ɪnˈtaɪtl/;  cho quyền (làm gì...) 
entreat /ɪnˈtriːt/, /ɪnˈtriːt/;  khẩn nài, khẩn khoản
envoy /ˈenvɔɪ/, /ˈenvɔɪ/;  phái viên, đại diện ngoại giao
ephemeral /ɪˈfemərəl/, /ɪˈfemərəl/;  phù du, sớm chết, chóng tàn
epitaph /tɑːf/, /tæf/;  văn bia
epithet /ˈepɪθet/, /ˈepɪθet/;  (ngôn ngữ học) tính ngữ 
equable /ˈekwəbl/, /ˈekwəbl/;  điềm đạm, điềm tĩnh
equitable /ˈekwɪtəbl/, /ˈekwɪtəbl/;  công bằng, hợp lí
equivalent /ɪˈkwɪvələnt/, /ɪˈkwɪvələnt/;  tương đương 
eradicate /ɪˈrædɪkeɪt/, /ɪˈrædɪkeɪt/;  tiêu diệt, xóa bỏ
erode /ɪˈrəʊd/, /ɪˈroʊd/;  xói mòn, ăn mòn
err /ɜː(r)/, /er/;  phạm sai lầm
erratic /ɪˈrætɪk/, /ɪˈrætɪk/;  thất thường, không đều
erudite /ˈerudaɪt/, /ˈerudaɪt/;  học rộng, uyên bác
esoteric /ˌiːsəˈterɪk/, /ˌesəˈterɪk/;  chỉ những người đặc biệt quan tâm mới hiểu được, bí truyền
essential /ɪˈsenʃl/, /ɪˈsenʃl/;  cần thiết, cốt yếu 
ethical /ˈeθɪkl/, /ˈeθɪkl/;  (thuộc) đạo đức 
evacuate /ɪˈvækjueɪt/, /ɪˈvækjueɪt/;  sơ tán
evolve /ɪˈvɒlv/, /ɪˈvɑːlv/;  tiến hoá, phát triển, khai triển
exaggerate /ɪɡˈzædʒəreɪt/, /ɪɡˈzædʒəreɪt/;  phóng đại, cường điệu
exalt /ɪɡˈzɔːlt/, /ɪɡˈzɔːlt/;  đề cao, đưa lên địa vị cao, tâng bốc
excavate /ˈekskəveɪt/, /ˈekskəveɪt/;  khai quật
exceed /ɪkˈsiːd/, /ɪkˈsiːd/;  vượt quá, lớn hơn 
excerpt /ekˈsɜːpt/, /ekˈsɜːrpt/;  đoạn trích
exert /ɪɡˈzɜːt/, /ɪɡˈzɜːrt/;  tác động (để ảnh hưởng ai/cái gì)
exhilarate /ɪɡˈzɪləreɪt/, /ɪɡˈzɪləreɪt/;  làm vui vẻ, làm phấn khởi 
exotic /ɪɡˈzɒtɪk/, /ɪɡˈzɑːtɪk/;  ngoại lai, kỳ lạ 
expedient /ɪkˈspiːdiənt/, /ɪkˈspiːdiənt/;  kế, thủ đoạn, mưu chước (vì mục đích cá nhân) 
expenditure /ɪkˈspendɪtʃə(r)/, /ɪkˈspendɪtʃər/;  sự chi tiêu, phí tổn 
exploit /ɪkˈsplɔɪt/, /ɪkˈsplɔɪt/;  lợi dụng 
exposure /ˈspəʊʒə(r)/, /ˈspoʊʒər/;  trình trạng bị phơi bày
expound /ɪkˈspaʊnd/, /ɪkˈspaʊnd/;  trình bày chi tiết
expurgate /pəɡeɪt/, /pərɡeɪt/;  sàng lọc, cắt bỏ 
exquisite /ɪkˈskwɪzɪt/, /ɪkˈskwɪzɪt/;  thanh tú, trang nhã, tinh tế
extensive /ɪkˈstensɪv/, /ɪkˈstensɪv/;  rộng về diện tích, lớn về lượng 
extirpate /təpeɪt/, /tərpeɪt/;  nhổ rễ, đào tận gốc (cây, cỏ...), cắt bỏ (cái u...)
extol /ɪkˈstəʊl/, /ɪkˈstoʊl/;  tán dương, khen ngợi 
extraneous /ɪkˈstreɪniəs/, /ɪkˈstreɪniəs/;  không liên quan tới vấn đề đang được đề cập
extravagant /ɪkˈstrævəɡənt/, /ɪkˈstrævəɡənt/;  phung phí
exult /ɪɡˈzʌlt/, /ɪɡˈzʌlt/;  hân hoan, hoan hỉ, hả hê
facade /fəˈsɑːd/, /fəˈsɑːd/;  mặt tiền
facet /ˈfæsɪt/, /ˈfæsɪt/;  khía cạnh(vấn đề... )
facetious /fəˈsiːʃəs/, /fəˈsiːʃəs/;  hay khôi hài, hay hài hước
fallacy /ˈfæləsi/, /ˈfæləsi/;  ảo tưởng, sự sai lầm, ý kiến sai lầm
fallible /ˈfæləbl/, /ˈfæləbl/;  có thể sai lầm
famine /ˈfæmɪn/, /ˈfæmɪn/;  nạn đói 
fanciful /ˈfænsɪfl/, /ˈfænsɪfl/;  tưởng tượng, không có thật
fancy /ˈfænsi/, /ˈfænsi/;  cầu kỳ, sặc sỡ
farce /fɑːs/, /fɑːrs/;  trò khôi hài, trò hề ( (nghĩa đen) & (nghĩa bóng)) 
fastidious /fæˈstɪdiəs/, /fæˈstɪdiəs/;  tỉ mỉ, kĩ lưỡng
fatal /ˈfeɪtl/, /ˈfeɪtl/;  gây tử vong, gây chết người
fathom /ˈfæðəm/, /ˈfæðəm/;  thấu hiểu, tìm lời giải 
fatigue /fəˈtiːɡ/, /fəˈtiːɡ/;  sự mệt nhọc, mệt mỏi
fatuous /ˈfætʃuəs/, /ˈfætʃuəs/;  ngu ngốc
favour /ˈfeɪvə(r)/, /ˈfeɪvər/;  ưu đãi, biệt đãi, chiếu cố, thiên vị
feasible /ˈfiːzəbl/, /ˈfiːzəbl/;  khả thi 
feat /fiːt/, /fiːt/;  kỳ công, chiến công
feature /ˈfiːtʃə(r)/, /ˈfiːtʃər/;  đặc tính 
feeble /ˈfiːbl/, /ˈfiːbl/;  yếu ớt
feign /feɪn/, /feɪn/;  giả vờ
felicity /fəˈlɪsəti/, /fəˈlɪsəti/;  hạnh phúc lớn
fertile /ˈfɜːtaɪl/, /ˈfɜːrtl/;  màu mỡ, phì nhiêu 
fervent /ˈfɜːvənt/, /ˈfɜːrvənt/;  nhiệt thành, tha thiết 
fervid /ˈfɜːvɪd/, /ˈfɜːrvɪd/;  nồng nhiệt, tha thiết
fiasco /fiˈæskəʊ/, /fiˈæskoʊ/;  thất bại lớn, thất bại ê chề
fictitious /fɪkˈtɪʃəs/, /fɪkˈtɪʃəs/;  hư cấu 
finite /ˈfaɪnaɪt/, /ˈfaɪnaɪt/;  có hạn 
flaccid /ˈflæsɪd/, /ˈflæsɪd/;  mềm, nhũn
flagrant /ˈfleɪɡrənt/, /ˈfleɪɡrənt/;  trắng trợn
flamboyant /flæmˈbɔɪənt/, /flæmˈbɔɪənt/;  khác lạ, tự tin và thu hút
flashback /ˈflæʃbæk/, /ˈflæʃbæk/;  hồi tưởng 
flaunt /flɔːnt/, /flɔːnt/;  khoe khoang
flaw /flɔː/, /flɔː/;  sai lầm, thiếu sót
flock /flɒk/, /flɑːk/;  lũ lượt kéo đến 
flourish /ˈflʌrɪʃ/, /ˈflɜːrɪʃ/;  phát đạt, phát triển 
fluctuate /ˈflʌktʃueɪt/, /ˈflʌktʃueɪt/;  dao động, biến động
forefront /ˈfɔːfrʌnt/, /ˈfɔːrfrʌnt/;  hàng đầu, địa vị quan trọng trong một nhóm
foremost /ˈfɔːməʊst/, /ˈfɔːrmoʊst/;  đầu tiên 
forensic /ˈrenzɪk/, /ˈrenzɪk/;  (thuộc) pháp y
forfeit /ˈfɔːfɪt/, /ˈfɔːrfɪt/;  bị mất, bị thiệt (vì có lỗi...)
fortuitous /fɔːˈtjuːɪtəs/, /fɔːrˈtuːɪtəs/;  tình cờ, bất ngờ, ngẫu nhiên
foster /ˈfɒstə(r)/, /ˈfɑːstər/;  ấp ủ, nuôi dưỡng 
fracas /ˈfrækɑː/, /ˈfreɪkəs/;  cuộc cãi lộn ầm ĩ, cuộc ẩu đã ầm ĩ
fragment /ˈfræɡmənt/, /ˈfræɡmənt/;  mảnh, mãnh vỡ
frail /freɪl/, /freɪl/;  ốm yếu
fraud /frɔːd/, /frɔːd/;  sự gian lận, sự lừa gạt
frugal /ˈfruːɡl/, /ˈfruːɡl/;  tiết kiệm
frustrate /frʌˈstreɪt/, /ˈfrʌstreɪt/;  làm ai đó nản 
fundamental /ˌfʌndəˈmentl/, /ˌfʌndəˈmentl/;  cơ bản, chủ yếu 
genealogy /ˌdʒiːniˈælədʒi/, /ˌdʒiːniˈælədʒi/;  gia phả học
genesis /ˈdʒenəsɪs/, /ˈdʒenəsɪs/;  căn nguyên, nguồn gốc
gesticulate /dʒeˈstɪkjuleɪt/, /dʒeˈstɪkjuleɪt/;  khoa tay múa chân (khi nói) 
gesture /ˈdʒestʃə(r)/, /ˈdʒestʃər/;  điệu bộ, cử chỉ 
ghastly /ˈɡɑːstli/, /ˈɡæstli/;  ghê sợ, khủng khiếp
glib /ɡlɪb/, /ɡlɪb/;  lém lĩnh, liến thoắng
glisten /ˈɡlɪsn/, /ˈɡlɪsn/;  sáng lấp lánh
glorify /ˈɡlɔːrɪfaɪ/, /ˈɡlɔːrɪfaɪ/;  tuyên dương, ca ngợi
gratify /ˈɡrætɪfaɪ/, /ˈɡrætɪfaɪ/;  làm ai đó hài lòng
grave; rất nghiêm trọng, đáng lo
gregarious /ˈɡeəriəs/, /ˈɡeriəs/;  thích đàn đúm, thích giao du
grimace /ˈɡrɪməs/, /ˈɡrɪməs/;  nhăn mặt, nhăn nhó
gruelling /ˈɡruːəlɪŋ/, /ˈɡruːəlɪŋ/;  khó khăn, mệt mỏi
haggle /ˈhæɡl/, /ˈhæɡl/;  mặc cả, tranh cãi 
hail /heɪl/, /heɪl/;  khen, ca ngợi
halt /hɔːlt/, /hɒlt/;  cho dừng lại /hɔːlt/, /hɒlt/;  bắt dừng lại
handicraft /krɑːft/, /kræft/;  thủ công mỹ nghệ 
haphazard /zəd/, /zərd/;  bừa bãi, lộn xộn
harangue /həˈræŋ/, /həˈræŋ/;  diễn thuyết, kêu gọi, hô hào (trước đám đông)
harness /ˈhɑːnɪs/, /ˈhɑːrnɪs/;  khai thác
haughty /ˈhɔːti/, /ˈhɔːti/;  kiêu căng, ngạo mạn
hazardous /ədəs/, /ərdəs/;  mạo hiểm, nguy hiểm (đến sức khỏe hoặc sự an toàn của ai đó)
heedless /ˈhiːdləs/, /ˈhiːdləs/;  không chú ý, lơ là 
heinous /ˈheɪnəs/, /ˈhiːnəs/;  cực kỳ tàn ác
herald /ˈherəld/, /ˈherəld/;  báo trước 
hiatus /haɪˈeɪtəs/, /haɪˈeɪtəs/;  quãng nghỉ 
hierarchy /rɑːki/, /rɑːrki/;  hệ thống cấp bậc
highlight /ˈhaɪlaɪt/, /ˈhaɪlaɪt/;  nhấn mạnh, làm nổi bật
hoax /həʊks/, /hoʊks/;  trò đánh lừa, trò chơi khăm
hostile /ˈhɒstaɪl/, /ˈhɑːstl/;  không thân thiện, thù địch 
hurl /hɜːl/, /hɜːrl/;  ném mạnh
hurtle /ˈhɜːtl/, /ˈhɜːrtl/;  va mạnh, đụng mạnh
hybrid /ˈhaɪbrɪd/, /ˈhaɪbrɪd/;  cây lai, động vật lai
hyperbole /ˈpɜːbəli/, /ˈpɜːrbəli/;  lối nói cường điệu
hypothesis /ˈpɒθəsɪs/, /ˈpɑːθəsɪs/;  giả thuyết 
ideology /ˈɒlədʒi/, /ˈɑːlədʒi/;  ý thức hệ, hệ tư tưởng 
idiosyncrasy /ˌɪdiəˈsɪŋkrəsi/, /ˌɪdiəˈsɪŋkrəsi/;  cách diễn đạt riêng, cách biểu hiện riêng, phong cách riêng (của một tác giả)
illumination /ɪˌluːmɪˈneɪʃn/, /ɪˌluːmɪˈneɪʃn/;  sự chiếu sáng, nơi tỏa sáng 
illusion /ɪˈluːʒn/, /ɪˈluːʒn/;  ảo tưởng 
immaculate /ɪˈmækjələt/, /ɪˈmækjələt/;  sạch bóng, không tỳ vết
imminent /ˈɪmɪnənt/, /ˈɪmɪnənt/;  sắp xảy ra
immune /ɪˈmjuːn/, /ɪˈmjuːn/;  miễn dịch 
impair /ɪmˈpeə(r)/, /ɪmˈper/;  làm suy yếu, phá hỏng 
impeach /ɪmˈpiːtʃ/, /ɪmˈpiːtʃ/;  buộc tội, tố cáo
impeccable /ɪmˈpekəbl/, /ɪmˈpekəbl/;  hoàn hảo, không chê vào đâu được, không tỳ vết (đồ vật...) 
impediment /ɪmˈpedɪmənt/, /ɪmˈpedɪmənt/;  trở ngại, cản trở 
impervious /ˈpɜːviəs/, /ˈpɜːrviəs/;  không thấm (nước), không lọt qua
implacable /ɪmˈplækəbl/, /ɪmˈplækəbl/;  không thể làm xiêu lòng, không thể nguôi ngoai
implement /ˈɪmplɪment/, /ˈɪmplɪment/;  thi hành, thực hiện 
implicit /ɪmˈplɪsɪt/, /ɪmˈplɪsɪt/;  ngầm, ẩn ý 
impose /ɪmˈpəʊz/, /ɪmˈpoʊz/;  ban hành một luật mới, áp đặt (thuế, đạo luật) 
impregnable /ɪmˈpreɡnəbl/, /ɪmˈpreɡnəbl/;  bất khả xâm phạm 
improvident /ˈprɒvɪdənt/, /ˈprɑːvɪdənt/;  không biết dự liệu, hoang phí
impugn /ɪmˈpjuːn/, /ɪmˈpjuːn/;  công kích, nghi vấn
inaugurate /ɪˈnɔːɡjəreɪt/, /ɪˈnɔːɡjəreɪt/;  khai mạc, khánh thành
incarcerate /ˈkɑːsəreɪt/, /ˈkɑːrsəreɪt/;  bỏ tù, tống giam, giam hãm 
incentive /ɪnˈsentɪv/, /ɪnˈsentɪv/;  khuyến khích, khích lệ, động cơ 
incessant /ɪnˈsesnt/, /ɪnˈsesnt/;  không dứt, liên miên, không ngớt
incisive /ɪnˈsaɪsɪv/, /ɪnˈsaɪsɪv/;  sắc sảo, sâu sắc
incognito /ˌɪnkɒɡˈniːtəʊ/, /ˌɪnkɑːɡˈniːtoʊ/;  ẩn danh
incontrovertible /ˌɪnkɒntrəˈvɜːtəbl/, /ˌɪnkɑːntrəˈvɜːrtəbl/;  không thể chối cãi, hiển nhiên 
increment /ˈɪŋkrəmənt/, /ˈɪŋkrəmənt/;  khoảng lương tăng 
incumbent /ɪnˈkʌmbənt/, /ɪnˈkʌmbənt/;  người đương nhiệm
indefatigable /ˌɪndɪˈfætɪɡəbl/, /ˌɪndɪˈfætɪɡəbl/;  không biết mỏi mệt 
indicative /ɪnˈdɪkətɪv/, /ɪnˈdɪkətɪv/;  tỏ ra, ngụ ý, biểu lộ 
indigenous /ɪnˈdɪdʒənəs/, /ɪnˈdɪdʒənəs/;  bản địa, bản xứ 
indiscriminate /ˌɪndɪˈskrɪmɪnət/, /ˌɪndɪˈskrɪmɪnət/;  chỉ hành động thiếu suy nghĩ 
induce /djuːs/, /duːs/;  khiến, xui khiến 
inevitable /ɪnˈevɪtəbl/, /ɪnˈevɪtəbl/;  không thể tránh được, chắc chắn xảy ra
inference /ˈɪnfərəns/, /ˈɪnfərəns/;  điều suy ra, điều rút ra
infinitesimal /ˌɪnfɪnɪˈtesɪml/, /ˌɪnfɪnɪˈtesɪml/;  rất nhỏ, nhỏ vô cùng, cực kì nhỏ 
infringe /ɪnˈfrɪndʒ/, /ɪnˈfrɪndʒ/;  vi phạm luật lệ 
ingenious /ɪnˈdʒiːniəs/, /ɪnˈdʒiːniəs/;  tinh xảo, tài tình 
ingenuous /ɪnˈdʒenjuəs/, /ɪnˈdʒenjuəs/;  chân thật, ngây thơ 
ingratiate /ɪnˈɡreɪʃieɪt/, /ɪnˈɡreɪʃieɪt/;  lấy lòng 
inherent /ɪnˈherənt/, /ɪnˈherənt/;  vốn có, cố hữu 
inhibit /ɪnˈhɪbɪt/, /ɪnˈhɪbɪt/;  ngăn chặn, kìm chế
innate /ɪˈneɪt/, /ɪˈneɪt/;  bẩm sinh
innocuous /ɪˈnɒkjuəs/, /ɪˈnɑːkjuəs/;  không có hại, vô thưởng vô phạt
innovation /ˌɪnəˈveɪʃn/, /ˌɪnəˈveɪʃn/;  phát kiến 
innuendo /dəʊ/, /doʊ/;  lời nói bóng gió, lời nói cạnh khóe
inordinate /ˈɔːdɪnət/, /ˈɔːrdɪnət/;  quá mức, quá xá, quá quắt
insatiable /ɪnˈseɪʃəbl/, /ɪnˈseɪʃəbl/;  không thể thoả mãn được, tham lam vô độ
inscription /ɪnˈskrɪpʃn/, /ɪnˈskrɪpʃn/;  câu viết, câu khắc, câu ghi (trên bia...)
inscrutable /ɪnˈskruːtəbl/, /ɪnˈskruːtəbl/;  bí hiểm, khó hiểu 
insidious /ɪnˈsɪdiəs/, /ɪnˈsɪdiəs/;  âm ỉ, ngấm ngầm 
insinuate /ɪnˈsɪnjueɪt/, /ɪnˈsɪnjueɪt/;  nói bóng gió, ám chỉ 
inspire /ɪnˈspaɪə(r)/, /ɪnˈspaɪər/;  truyền cảm hứng
instantaneous /ˌɪnstənˈteɪniəs/, /ˌɪnstənˈteɪniəs/;  diễn ra ngay lập tức 
instigate /ˈɪnstɪɡeɪt/, /ˈɪnstɪɡeɪt/;  xúi giục, xúi bẩy
intangible /ɪnˈtændʒəbl/, /ɪnˈtændʒəbl/;  vô hình, không thể rờ được, không thể sờ vào
integral /ˈɪntɪɡrəl/, /ˈɪntɪɡrəl/;  thiết yếu, cần thiết 
integrity /ɪnˈteɡrəti/, /ɪnˈteɡrəti/;  sự chính trực, liên minh 
intense /ɪnˈtens/, /ɪnˈtens/;  rất lớn, rất mạnh
interchange /tətʃeɪndʒ/, /tərtʃeɪndʒ/;  trao đổi lẫn nhau, thay thế lẫn nhau
interminable /ˈtɜːmɪnəbl/, /ˈtɜːrmɪnəbl/;  dài dòng, vô tận, tràng giang đại hải
intermittent /təˈmɪtənt/, /tərˈmɪtənt/;  lúc có lúc không, không liên tục, gián đoạn 
intervene /təˈviːn/, /tərˈviːn/;  xen vào, can thiệp
intrepid /ɪnˈtrepɪd/, /ɪnˈtrepɪd/;  gan dạ, dũng cảm 
intricate /ˈɪntrɪkət/, /ˈɪntrɪkət/;  phức tạp
intrigue /ɪnˈtriːɡ/, /ɪnˈtriːɡ/;  tạo sự hứng thú 
intrinsic /zɪk/, /zɪk/;  nội tại, thực chất bên trong
invoke /ɪnˈvəʊk/, /ɪnˈvoʊk/;  viện đến, dẫn chứng
involve /ɪnˈvɒlv/, /ɪnˈvɑːlv/;  bao hàm, kéo theo 
irascible /ɪˈræsəbl/, /ɪˈræsəbl/;  dễ nổi nóng 
irksome /ˈɜːksəm/, /ˈɜːrksəm/;  phiền phức 
itinerary /aɪˈtɪnərəri/, /aɪˈtɪnəreri/;  lộ trình đi, hành trình 
jargon /ˈdʒɑːɡən/, /ˈdʒɑːrɡən/;  biệt ngữ, thuật ngữ, tiếng lóng
jaunty /ˈdʒɔːnti/, /ˈdʒɔːnti/;  khoái chí, hài lòng với bản thân
jeopardy /pədi/, /pərdi/;  nguy cơ, cảnh nguy hiểm, cảnh hiểm nghèo
judicious /dʒuˈdɪʃəs/, /dʒuˈdɪʃəs/;  sáng suốt, khôn ngoan, có suy xét
keynote /nəʊt/, /noʊt/;  điểm chính yếu
laconic /ˈkɒnɪk/, /ˈkɑːnɪk/;  vắn tắt, súc tích 
latent /ˈleɪtnt/, /ˈleɪtnt/;  ngấm ngầm, tiềm tàng, âm ỉ
lateral /ˈlætərəl/, /ˈlætərəl/;  ở bên
laud /lɔːd/, /lɔːd/;  ca ngợi, khen ngợi
launch /lɔːntʃ/, /lɔːntʃ/;  buổi giới thiệu (sản phẩm)
lavish /ˈlævɪʃ/, /ˈlævɪʃ/;  xa hoa
legislature /ˈledʒɪslətʃə(r)/, /ˈledʒɪsleɪtʃər/;  cơ quan lập pháp 
legitimate /lɪˈdʒɪtɪmət/, /lɪˈdʒɪtɪmət/;  chính đáng
lethal /ˈliːθl/, /ˈliːθl/;  gây chết người 
liaison /liˈeɪzn/, /ˈliːəzɑːn/;  sự liên lạc, sự giao liên
liberate /ˈlɪbəreɪt/, /ˈlɪbəreɪt/;  giải phóng
linger /ˈlɪŋɡə(r)/, /ˈlɪŋɡər/;  nấn ná, lần lữa, chần chừ
literal /ˈlɪtərəl/, /ˈlɪtərəl/;  theo nghĩa của chữ, theo nghĩa đen
loathe /ləʊð/, /loʊð/;  căm ghét
lofty /ˈlɒfti/, /ˈlɔːfti/;  cao ngất, sừng sững
longevity /lɒnˈdʒevəti/, /lɔːnˈdʒevəti/;  tuổi thọ, sự sống lâu, sự trường thọ
ludicrous /ˈluːdɪkrəs/, /ˈluːdɪkrəs/;  buồn cười, lố lăng, lố bịch
luminary /nəri/, /neri/;  người có uy tín lớn, người có ảnh hưởng lớn, danh nhân
luminous /ˈluːmɪnəs/, /ˈluːmɪnəs/;  toả sáng trong bóng tối, dạ quang
magnetic /mæɡˈnetɪk/, /mæɡˈnetɪk/;  có sức hấp dẫn mạnh, có sức quyến rũ
magnitude /tjuːd/, /tuːd/;  tầm cỡ, độ lớn 
malice /ˈmælɪs/, /ˈmælɪs/;  ác tâm
mandatory /ˈmændətəri/, /mænˈdeɪtəri/;  bắt buộc (bởi luật pháp) 
manifestation /ˌmænɪfeˈsteɪʃn/, /ˌmænɪfeˈsteɪʃn/;  sự biểu lộ, sự biểu thị 
manipulate /məˈnɪpjuleɪt/, /məˈnɪpjuleɪt/;  kiểm soát, tác động 
marketplace /ˈmɑːkɪtpleɪs/, /ˈmɑːrkɪtpleɪs/;  thị trường, nơi họp chợ 
massacre /ˈmæsəkə(r)/, /ˈmæsəkər/;  cuộc thảm sát
masterpiece /ˈmɑːstəpiːs/, /ˈmæstərpiːs/;  tuyệt tác nghệ thuật 
mature /məˈtʃʊə(r)/, /ˈtʃʊr/;  trưởng thành, chín chắn
mediocre /ˈəʊkə(r)/, /ˈoʊkər/;  xoàng, trung bình
menace /ˈmenəs/, /ˈmenəs/;  mối đe dọa
mercenary /ˈmɜːsənəri/, /ˈmɜːrsəneri/;  lính đánh thuê
mere /mɪə(r)/, /mɪr/;  chỉ là, chẳng qua
merit /ˈmerɪt/, /ˈmerɪt/;  xứng đáng
microcosm /krəʊkɒzəm/, /kroʊkɑːzəm/;  mô hình thu nhỏ, thế giới vi mô
milestone /stəʊn/, /stoʊn/;  sự kiện quan trọng, cột mốc
mingle /ˈmɪŋɡl/, /ˈmɪŋɡl/;  trộn lẫn, lẫn vào
misanthrope /θrəʊp/, /θroʊp/;  kẻ ghét người
misconception /ˌmɪskənˈsepʃn/, /ˌmɪskənˈsepʃn/;  quan niệm sai, sự hiểu sai 
mishandle /ˌmɪsˈhændl/, /ˌmɪsˈhændl/;  hành hạ, ngược đãi, giải quyết hỏng
mislead /ˌmɪsˈliːd/, /ˌmɪsˈliːd/;  làm cho mê muội, làm cho lầm đường lạc lối
misnomer /ˈnəʊmə(r)/, /ˈnoʊmər/;  sự nhầm tên
mobile /ˈməʊbaɪl/, /ˈmoʊbl/;  di động, lưu động 
mobilize /ˈməʊbəlaɪz/, /ˈmoʊbəlaɪz/;  huy động, động viên
mock /mɒk/, /mɑːk/;  chế nhạo
moderate /ˈmɒdərət/, /ˈmɑːdərət/;  vừa phải, điều độ
momentum /məˈmentəm/, /moʊˈmentəm/;  đà 
monetary /tri/, /teri/;  (thuộc) tiền tệ
monologue /ˈmɒnəlɒɡ/, /ˈmɑːnəlɔːɡ/;  cuộc độc thoại 
monotonous /məˈnɒtənəs/, /məˈnɑːtənəs/;  đều đều, đơn điệu, buồn tẻ
morale /ˈrɑːl/, /ˈræl/;  nhuệ khí
morose /məˈrəʊs/, /məˈroʊs/;  buồn rầu, rầu rỉ, ủ ê
mortify /ˈmɔːtɪfaɪ/, /ˈmɔːrtɪfaɪ/;  làm cho xấu hổ, làm mất thể diện 
mundane /mʌnˈdeɪn/, /mʌnˈdeɪn/;  không thú vị, không hấp dẫn
municipal /mjuːˈnɪsɪpl/, /mjuːˈnɪsɪpl/;  (thuộc) thành phố, (thuộc) đô thị, (thuộc) thị xã
murky /ˈmɜːki/, /ˈmɜːrki/;  không rõ ràng, âm u, tối tăm 
muster /ˈmʌstə(r)/, /ˈmʌstər/;  tập hợp, tập trung
mutable /ˈmjuːtəbl/, /ˈmjuːtəbl/;  có thể biến đổi
mutation /mjuːˈteɪʃn/, /mjuːˈteɪʃn/;  sự đột biến
myriad /ˈmɪriəd/, /ˈmɪriəd/;  vô số, rất nhiều
negligible /ˈneɡlɪdʒəbl/, /ˈneɡlɪdʒəbl/;  không đáng kể 
nettle /ˈnetl/, /ˈnetl/;  chọc tức
nocturnal /nɒkˈtɜːnl/, /nɑːkˈtɜːrnl/;  (thuộc) đêm, về đêm
nominal /ˈnɒmɪnl/, /ˈnɑːmɪnl/;  chỉ tồn tại trên danh nghĩa, hữu danh vô thực
nonchalant /ˈnɒnʃələnt/, /ˌnɑːnʃəˈlɑːnt/;  thờ ơ, hờ hững, lãnh đạm, vô tình
norm /nɔːm/, /nɔːrm/;  quy tắc, quy phạm, tình huống
nostalgic /nɒˈstældʒɪk/, /nəˈstældʒɪk/;  luyến tiếc quá khứ, hoài niệm
notion /ˈnəʊʃn/, /ˈnoʊʃn/;  ý nghĩ, lòng tin, cách hiểu
notorious /nəʊˈtɔːriəs/, /noʊˈtɔːriəs/;  khét tiếng
notwithstanding /ˌnɒtwɪθˈstændɪŋ/, /ˌnɑːtwɪθˈstændɪŋ/;  bất kể, bất chấp
novelty /ˈnɒvlti/, /ˈnɑːvlti/;  tính mới lạ, tính lạ thường
novice /ˈnɒvɪs/, /ˈnɑːvɪs/;  người mới học, người chưa có kinh nghiệm 
oblivious /əˈblɪviəs/, /əˈblɪviəs/;  không chú ý đến
obnoxious /ˈnɒkʃəs/, /ˈnɑːkʃəs/;  khả ố, dễ ghét
obscure /əbˈskjʊə(r)/, /əbˈskjʊr/;  không có tiếng tăm, vô danh, ít người biết đến
obsolete /ˈɒbsəliːt/, /ˌɑːbsəˈliːt/;  lỗi thời, lạc hậu
obstacle /ˈɒbstəkl/, /ˈɑːbstəkl/;  trở ngại, khó khăn
obtrude /əbˈtruːd/, /əbˈtruːd/;  ép buộc, bắt ai phải chịu đựng mình, bắt ai phải chú ý đến mình
obviate /ˈɒbvieɪt/, /ˈɑːbvieɪt/;  xóa bỏ, tẩy trừ
obvious /ˈɒbviəs/, /ˈɑːbviəs/;  rõ ràng, hiển nhiên
omen /ˈəʊmən/, /ˈoʊmən/;  điềm 
ominous /ˈɒmɪnəs/, /ˈɑːmɪnəs/;  báo điềm xấu, đáng ngại
omnipotent /ɒmˈnɪpətənt/, /ɑːmˈnɪpətənt/;  có quyền tuyệt đối, có quyền vô hạn, rất lớn
onus /ˈəʊnəs/, /ˈoʊnəs/;  nhiệm vụ, trách nhiệm
oppress /əˈpres/, /əˈpres/;  áp bức
ostensible /ɒˈstensəbl/, /ɑːˈstensəbl/;  giả mạo, mạo nhận
ostracize /ˈɒstrəsaɪz/, /ˈɑːstrəsaɪz/;  tẩy chay
outburst /bɜːst/, /bɜːrst/;  sự bột phát, sự bùng nổ
outlaw /ˈaʊtlɔː/, /ˈaʊtlɔː/;  người sống ngoài vòng pháp luật
overlap /ˌəʊvəˈlæp/, /ˌoʊvərˈlæp/;  sự gối lên nhau, sự chồng chéo
override /ˌəʊvəˈraɪd/, /ˌoʊvərˈraɪd/;  gạt ra một bên, không thèm đếm xỉa đến
overthrow /ˌəʊvəˈθrəʊ/, /ˌoʊvərˈθroʊ/;  lật đổ 
overview /ˈəʊvəvjuː/, /ˈoʊvərvjuː/;  sự khái quát
overwhelming /ˌəʊvəˈwelmɪŋ/, /ˌoʊvərˈwelmɪŋ/;  rất lớn và mạnh, áp đảo
pacify /ˈpæsɪfaɪ/, /ˈpæsɪfaɪ/;  làm yên, xoa dịu
painstaking /ˈpeɪnzteɪkɪŋ/, /ˈpeɪnzteɪkɪŋ/;  chịu khó, cần cù, cẩn thận
